-62,17,8,-407,1081,-118,
-62,17,8,-407,1081,-118,
-62,17,8,-407,1081,-118,
-62,20,6,-239,662,-127,
-61,19,8,-3665,241,-954,
-61,19,8,-3665,241,-954,
-52,19,11,-2986,1439,-1596,
-55,-5,-12,12804,3392,-5874,
-55,-5,-12,12804,3392,-5874,
-81,-21,0,-2619,2846,-15469,
-81,-21,0,-2619,2846,-15469,
-65,-27,5,-707,3690,-23466,
-65,-27,5,-707,3690,-23466,
-88,-8,8,8892,1224,-24203,
-88,-8,8,8892,1224,-24203,
-92,-2,3,3252,-1491,-17981,
-64,-14,3,-3330,-2217,-14054,
-50,-16,3,-2158,-1463,-11071,
-54,-7,2,2340,-515,-6667,
-58,-2,2,-1294,265,813,
-58,-2,2,-1294,265,813,
-58,-9,3,-2832,350,6276,
-78,-9,3,2244,10,17661,
-78,-9,3,2244,10,17661,
-78,-9,3,2244,10,17661,
-85,-8,1,832,-196,24747,
-85,-8,1,832,-196,24747,
-82,-18,-2,-3826,-1517,23069,
-82,-18,-2,-3826,-1517,23069,
-89,0,-25,-7292,-3943,17239,
-89,0,-25,-7292,-3943,17239,
-23,-73,24,-3975,-277,2927,
-62,4,-26,11955,2397,3329,
-43,-17,-5,4298,1430,-10500,
-92,-17,2,-2803,2498,-17962,
-92,-17,2,-2803,2498,-17962,
-92,-24,7,-4997,3289,-20021,
-78,-23,5,-865,2543,-22090,
-77,-22,4,-552,1027,-23320,
-79,-17,5,-2334,-159,-23318,
-79,-15,5,-3469,-325,-22571,
-74,-16,3,-4685,-295,-19270,
-59,-16,2,-855,-300,-12183,
-47,-7,-3,1809,-898,-3276,
-48,-6,-3,389,-155,4058,
-48,-6,-3,389,-155,4058,
-91,-19,4,3195,391,25671,
-91,-19,4,3195,391,25671,
-91,-19,4,3195,391,25671,
-89,-13,0,-1088,-609,26930,
-89,-13,0,-1088,-609,26930,
-75,-23,-1,-3533,-1865,22603,
-75,-23,-1,-3533,-1865,22603,
-43,-117,9,-12228,-2124,4847,
-39,-33,11,-2508,412,-4078,
-33,-17,-3,4329,1014,-9714,
-97,-28,-2,1738,2617,-21209,
-101,-24,0,-2217,2126,-24075,
