0,12,58,-207,-20,-2,
0,12,58,-201,-23,-3,
0,12,58,-201,-23,-3,
0,12,58,-201,-23,-3,
0,12,58,-195,-28,0,
0,12,58,-194,-28,-3,
0,12,58,-212,-33,-3,
0,12,58,-198,-22,-1,
0,12,58,-198,-22,-1,
0,12,58,-200,-24,-8,
0,12,58,-208,-28,-8,
0,12,58,-204,-27,4,
0,12,58,-197,-25,-9,
0,12,58,-203,-29,-2,
0,12,58,-203,-29,-2,
0,12,58,-198,-27,1,
0,12,58,-191,-28,-5,
0,12,58,-195,-26,-5,
0,12,58,-204,-23,2,
0,12,58,-200,-17,-2,
0,12,58,-200,-17,-2,
0,12,58,-195,-26,4,
0,12,58,-205,-25,-12,
0,12,58,-204,-27,-9,
0,12,58,-206,-32,-1,
0,12,58,-206,-32,-1,
0,12,58,-210,-21,-3,
0,12,58,-202,-23,-9,
0,12,58,-201,-27,-6,
0,12,58,-192,-26,-2,
0,12,58,-205,-25,-9,
0,12,58,-205,-25,-9,
0,12,58,-208,-21,2,
0,12,58,-205,-19,0,
0,12,58,-205,-19,0,
0,12,58,-195,-24,-9,
0,12,58,-196,-24,-3,
0,12,58,-213,-32,-2,
0,12,58,-201,-31,-3,
0,12,58,-209,-30,-4,
0,12,58,-196,-26,-3,
0,12,58,-201,-25,-8,
0,12,58,-206,-30,-9,
0,12,58,-199,-24,3,
0,12,58,-203,-24,2,
0,12,58,-197,-19,4,
0,12,58,-198,-27,-1,
0,12,58,-198,-27,-1,
0,12,58,-202,-33,4,
0,12,58,-201,-25,-5,
0,12,58,-201,-25,-5,
0,12,58,-205,-22,5,
0,12,58,-203,-19,8,
0,12,58,-205,-26,-15,
0,12,58,-198,-22,-6,
0,12,58,-200,-21,0,
0,12,58,-199,-27,-4,
0,12,58,-202,-22,1,
0,12,58,-209,-20,2,
0,12,58,-196,-20,-3,
0,12,58,-202,-27,-3,
0,12,58,-200,-24,-3,
0,12,58,-200,-24,-3,
0,12,58,-209,-22,-1,
0,12,58,-210,-22,-2,
0,12,58,-199,-24,-3,
0,12,58,-199,-25,-2,
0,12,58,-199,-25,-2,
0,12,58,-191,-24,0,
0,12,58,-201,-34,-8,
0,12,58,-207,-25,-3,
0,12,58,-200,-31,-9,
0,12,58,-200,-31,-9,
0,12,58,-197,-25,2,
0,12,58,-211,-21,-4,
0,12,58,-214,-21,-3,
0,12,58,-211,-25,-1,
0,12,58,-196,-31,-4,
0,12,58,-192,-27,-4,
0,12,58,-195,-20,0,
0,12,58,-205,-28,2,
0,12,58,-201,-22,-3,
0,12,58,-201,-22,-3,
0,12,58,-202,-23,-6,
0,12,58,-204,-25,-7,
0,12,58,-202,-25,-8,
0,12,58,-199,-26,-5,
0,12,58,-195,-22,4,
0,12,58,-191,-26,-5,
0,12,58,-191,-26,-5,
0,12,58,-196,-30,0,
0,12,58,-199,-24,3,
0,12,58,-210,-24,0,
0,12,58,-191,-30,-4,
0,12,58,-191,-30,-4,
0,12,58,-206,-27,-5,
0,12,58,-200,-27,-7,
0,12,58,-203,-23,-10,
0,12,58,-203,-23,-10,
0,12,58,-206,-25,6,
0,12,58,-199,-24,5,
0,12,58,-200,-30,0,
0,12,58,-205,-23,-4,
